Time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
2020-02-14,0.12,0.0,0.2,45.0,,213.0,0,0
2020-02-19,0.5,0.0,1.1,48.7,,1250.0,0,0
2020-02-24,0.58,0.0,1.0,48.3,131.0,1224.0,0,0
2020-02-28,0.27,0.0,0.8,50.1,128.0,1187.0,0,0
2020-03-04,0.73,0.0,0.8,50.8,143.0,1328.0,0,0
2020-03-09,0.67,0.0,1.5,50.4,167.0,1713.0,0,0
2020-03-13,0.12,0.0,0.3,53.3,33.0,341.0,0,0
2020-03-18,0.49,0.0,0.9,49.8,116.0,1125.0,0,0
2020-03-23,0.48,0.0,0.5,49.8,69.0,637.7,0,0
2020-03-27,0.38,0.0,0.6,52.4,75.0,710.0,0,0
2020-04-01,0.6,0.0,0.9,52.1,124.0,1288.0,0,0
2020-04-06,0.47,0.0,1.1,50.9,138.0,1474.0,0,0
2020-04-10,0.41,0.0,0.9,49.1,129.0,1375.0,0,0
2020-04-15,0.64,0.0,0.9,48.6,126.0,1353.0,0,0
2020-04-20,0.51,0.0,1.4,46.4,193.0,2248.0,0,0
2020-04-24,0.4,0.0,0.5,46.8,70.0,822.0,0,0
2020-04-29,0.67,0.0,1.2,46.8,193.0,1945.0,0,0
2020-05-04,0.71,0.0,1.0,46.6,140.0,1587.0,0,0
2020-05-08,0.76,0.0,1.2,44.1,156.0,1793.0,0,0
2020-05-13,0.72,0.0,1.0,43.4,126.0,1482.0,0,0
2020-05-18,0.79,0.0,0.6,46.4,85.0,1054.0,0,0
2020-05-22,0.86,0.0,1.1,43.7,152.0,2018.0,0,0
2020-05-26,0.67,0.0,0.9,41.8,132.0,1974.0,0,0
2020-05-29,1.11,0.1,1.3,40.3,153.0,2471.0,24,382
