Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
2019-12-24, 19.5,8.0,,3.9,1.95
2019-12-31, 26.6,10.2,0.9,3.9,1.95
2020-01-08, 32.2,11.9,2.3,3.9,1.95
2020-01-15, 27.2,12.2,3.8,3.9,1.95
2020-01-22, 29.9,12.7,5.0,3.9,1.95
2020-01-29, 28.8,10.7,6.4,3.9,1.95
2020-02-05, 31.6,11.5,7.7,3.9,1.95
2020-02-12, 34.9,11.2,8.7,3.9,1.95
2020-02-19, 36.8,10.5,10.1,4.8,1.95
2020-02-26, 37.1,10.5,11.3,4.8,1.95
2020-03-04, 35.9,11.0,12.5,4.8,1.95
2020-03-11, 33.8,11.0,13.8,4.8,1.95
2020-03-18, 32.8,10.6,15.2,4.8,1.95
2020-03-25, 30.2,11.3,16.5,4.8,1.95
2020-04-01, 28.4,10.7,17.8,4.8,1.95
2020-04-08, 27.9,10.2,18.8,4.8,1.95
2020-04-15, 34.3,9.9,20.3,4.8,1.95
2020-04-22, 36.3,9.3,21.7,4.8,1.95
2020-04-29, NaN,,21.7,4.8,1.95
2020-05-06, NaN,,,4.8,1.95
2020-05-13, NaN,,,4.8,1.95
2020-05-20, NaN,,,4.8,1.95
2020-05-27, NaN,,,4.8,1.95
